Date,Nitrogen Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2011-04-10,39,Unknown,LAX Hastings,06-037-5005,AQS
2011-04-11,44,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-04-12,41,Unknown,Burbank,06-037-1002,AQS
2011-04-13,30,Unknown,Pomona,06-037-1701,AQS
2011-04-14,54,Unknown,Pomona,06-037-1701,AQS
2011-04-15,60,Unknown,Pomona,06-037-1701,AQS
2011-04-16,53,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-04-17,36,Unknown,Pomona,06-037-1701,AQS
2011-04-18,26,Unknown,Burbank,06-037-1002,AQS
2011-04-19,28,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-04-20,36,Unknown,Pomona,06-037-1701,AQS
2011-04-21,33,Unknown,Burbank,06-037-1002,AQS
2011-04-22,27,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-04-23,28,Unknown,Pomona,06-037-1701,AQS
2011-04-24,20,Unknown,Pomona,06-037-1701,AQS
2011-04-25,29,Unknown,Pico Rivera #2,06-037-1602,AQS
2011-04-26,44,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-04-27,60,Unknown,Azusa,06-037-0002,AQS
2011-04-28,61,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-04-29,43,Unknown,Burbank,06-037-1002,AQS
2011-04-30,46,Unknown,Compton,06-037-1302,AQS
2011-05-01,42,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-05-02,56,Unknown,Pico Rivera #2,06-037-1602,AQS
2011-05-03,57,Unknown,Pico Rivera #2,06-037-1602,AQS
2011-05-04,65,Unknown,Pico Rivera #2,06-037-1602,AQS
