STATION,NAME,DATE,TMAX,TMIN,TAVG,PRCP
USW00023191,"AVALON CATALINA AIRPORT, CA US",2022-01-04,,58.0,44.0,
USC00042090,"COVINA CITY YARD FC387B, CA US",2022-01-04,,,,
USW00023182,"PALMDALE AIRPORT, CA US",2022-01-04,,62.0,36.0,
US1CALA0036,"PASADENA 2.0 SE, CA US",2022-01-04,,,,
US1CALA0096,"CLAREMONT 0.6 SSE, CA US",2022-01-04,,,,
USR0000CCHI,"CHILAO CALIFORNIA, CA US",2022-01-04,49.0,58.0,42.0,
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2022-01-04,,,,
US1CALA0064,"LOS ANGELES 2.6 NW, CA US",2022-01-04,,,,
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2022-01-04,,63.0,43.0,
USR0000CLEO,"LEO CARRILLO CALIFORNIA, CA US",2022-01-04,54.0,60.0,47.0,
US1CALA0090,"GLENDALE 3.0 ESE, CA US",2022-01-04,,,,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2022-01-04,,66.0,36.0,42.0
USC00046773,"PEARBLOSSOM, CA US",2022-01-04,,60.0,28.0,41.0
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",2022-01-04,,59.0,41.0,
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2022-01-05,63.0,69.0,58.0,
US1CALA0043,"PASADENA 1.8 E, CA US",2022-01-05,,,,
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2022-01-05,50.0,59.0,40.0,
US1CALA0108,"AGOURA HILLS 1.3 NNE, CA US",2022-01-05,,,,
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2022-01-05,51.0,60.0,43.0,
US1CALA0003,"TORRANCE 2.8 SW, CA US",2022-01-05,,,,
US1CALA0090,"GLENDALE 3.0 ESE, CA US",2022-01-05,,,,
USW00023152,"BURBANK GLENDALE PASADENA AIRPORT, CA US",2022-01-05,,73.0,45.0,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2022-01-05,,,,
USW00003122,"TORRANCE AIRPORT, CA US",2022-01-05,,65.0,43.0,58.0
