Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2020-11-11,17,Unknown,Compton,06-037-1302,AQS
2020-11-12,20,Unknown,Compton,06-037-1302,AQS
2020-11-13,15,Unknown,Compton,06-037-1302,AQS
2020-11-14,13,Unknown,Reseda,06-037-1201,AQS
2020-11-15,27,Unknown,Compton,06-037-1302,AQS
2020-11-16,19,Unknown,Compton,06-037-1302,AQS
2020-11-17,23,Unknown,Compton,06-037-1302,AQS
2020-11-18,14,Unknown,Reseda,06-037-1201,AQS
2020-11-19,11,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-11-20,17,Unknown,Compton,06-037-1302,AQS
2020-11-21,23,Unknown,Compton,06-037-1302,AQS
2020-11-22,28,Unknown,Compton,06-037-1302,AQS
2020-11-23,14,Unknown,Reseda,06-037-1201,AQS
2020-11-24,11,Unknown,Compton,06-037-1302,AQS
2020-11-25,18,Unknown,Compton,06-037-1302,AQS
2020-11-26,17,Unknown,Compton,06-037-1302,AQS
2020-11-27,20,Unknown,Compton,06-037-1302,AQS
2020-11-28,22,Unknown,Compton,06-037-1302,AQS
2020-11-29,24,Unknown,Compton,06-037-1302,AQS
2020-11-30,23,Unknown,Compton,06-037-1302,AQS
2020-12-01,26,Unknown,Compton,06-037-1302,AQS
2020-12-02,25,Unknown,Compton,06-037-1302,AQS
2020-12-03,27,Unknown,Compton,06-037-1302,AQS
2020-12-04,27,Unknown,Compton,06-037-1302,AQS
2020-12-05,31,Unknown,Compton,06-037-1302,AQS
2020-12-06,26,Unknown,Compton,06-037-1302,AQS
2020-12-07,27,Unknown,Compton,06-037-1302,AQS
2020-12-08,28,Unknown,Compton,06-037-1302,AQS
2020-12-09,20,Unknown,Compton,06-037-1302,AQS
2020-12-10,13,Unknown,Compton,06-037-1302,AQS
2020-12-11,19,Unknown,Compton,06-037-1302,AQS
2020-12-12,24,Unknown,Compton,06-037-1302,AQS
2020-12-13,19,Unknown,Compton,06-037-1302,AQS
2020-12-14,11,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-12-15,16,Unknown,Compton,06-037-1302,AQS
2020-12-16,19,Unknown,Compton,06-037-1302,AQS
2020-12-17,24,Unknown,Compton,06-037-1302,AQS
2020-12-18,23,Unknown,Compton,06-037-1302,AQS
2020-12-19,32,Unknown,Compton,06-037-1302,AQS
2020-12-20,23,Unknown,Compton,06-037-1302,AQS
2020-12-21,30,Unknown,Compton,06-037-1302,AQS
2020-12-22,18,Unknown,Reseda,06-037-1201,AQS
2020-12-23,20,Unknown,Compton,06-037-1302,AQS
2020-12-24,18,Unknown,Compton,06-037-1302,AQS
2020-12-25,15,Unknown,Compton,06-037-1302,AQS
2020-12-26,28,Unknown,Compton,06-037-1302,AQS
2020-12-27,10,Unknown,Compton,06-037-1302,AQS
2020-12-28,6,Unknown,Reseda,06-037-1201,AQS
2020-12-29,20,Unknown,Compton,06-037-1302,AQS
2020-12-30,25,Unknown,Compton,06-037-1302,AQS
2020-12-31,28,Unknown,Compton,06-037-1302,AQS
2021-01-01,42,Unknown,Compton,06-037-1302,AQS
2021-01-02,19,Unknown,Compton,06-037-1302,AQS
2021-01-03,18,Unknown,Compton,06-037-1302,AQS
2021-01-04,18,Unknown,Compton,06-037-1302,AQS
2021-01-05,13,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2021-01-06,26,Unknown,Compton,06-037-1302,AQS
2021-01-07,15,Unknown,Compton,06-037-1302,AQS
2021-01-08,19,Unknown,Compton,06-037-1302,AQS
2021-01-09,18,Unknown,Compton,06-037-1302,AQS
2021-01-10,24,Unknown,Compton,06-037-1302,AQS
2021-01-11,17,Unknown,Compton,06-037-1302,AQS
2021-01-12,16,Unknown,Compton,06-037-1302,AQS
2021-01-13,25,Unknown,Compton,06-037-1302,AQS
2021-01-14,26,Unknown,Compton,06-037-1302,AQS
2021-01-15,38,Unknown,Compton,06-037-1302,AQS
2021-01-16,39,Unknown,Compton,06-037-1302,AQS
2021-01-17,31,Unknown,Compton,06-037-1302,AQS
2021-01-18,16,Unknown,Compton,06-037-1302,AQS
2021-01-19,7,Unknown,Lancaster-Division Street,06-037-9033,AQS
2021-01-20,13,Unknown,Compton,06-037-1302,AQS
2021-01-21,11,Unknown,Compton,06-037-1302,AQS
2021-01-22,9,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2021-01-23,5,Unknown,Glendora,06-037-0016,AQS
2021-01-24,14,Unknown,Compton,06-037-1302,AQS
2021-01-25,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2021-01-26,9,Unknown,Anaheim Near-Road,06-059-0008,AQS
